manufacturer,model,category,modes_json,weight_kg,dimensions_length_mm,dimensions_width_mm,dimensions_height_mm,brightness_value,brightness_unit,power_voltage_range,power_avg_w,power_max_w,power_avg_a,power_max_a,connectivity_data_in,connectivity_data_out,connectivity_power_in,connectivity_power_out,sources_json,notes
Ayrton,Diablo-S,Spot,"[{""name"":""Standard"",""channels"":36},{""name"":""Basic"",""channels"":34},{""name"":""Extended"",""channels"":56}]",21.8,364.9,591.6,210.6,17500,lm,,,550,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.ayrton.eu/produit/diablo/""},{""type"":""manual"",""ref"":""https://www.ayrton.eu/wp-content/uploads/2018/12/Diablo-V1.pdf""}]",
Ayrton,Diablo-TC,Spot,"[{""name"":""Standard"",""channels"":36},{""name"":""Basic"",""channels"":34},{""name"":""Extended"",""channels"":56}]",21.8,364.9,591.6,210.6,14000,lm,,,550,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.ayrton.eu/produit/diablo/""},{""type"":""manual"",""ref"":""https://www.ayrton.eu/wp-content/uploads/2018/12/Diablo-V1.pdf""}]",
Ayrton,MagicBlade FX,Pixel Bar,"[{""name"":""Standard"",""channels"":22},{""name"":""Basic"",""channels"":19},{""name"":""Extended"",""channels"":19}]",13,612,312,191,3800,lm,,,400,,,DMX 5-pin,,,,"[{""type"":""manual"",""ref"":""https://www.ayrton.eu/wp-content/uploads/2015/10/MAGICBLADE-FX-Preliminary-Manual.pdf""}]",
Chauvet Professional,COLORado 1 Solo,Wash,"[{""name"":""Std. Y"",""channels"":17},{""name"":""TR16"",""channels"":17},{""name"":""TOUR"",""channels"":12},{""name"":""SSP"",""channels"":9},{""name"":""HSIC"",""channels"":9}]",5.4,242,176,346,780,lm,,,65,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.chauvetprofessional.com/products/colorado-1-solo/""},{""type"":""manual"",""ref"":""https://www.chauvetprofessional.com/wp-content/uploads//2018/01/COLORado_1_Solo_UM_Rev8.pdf""}]",
Chauvet Professional,COLORdash Batten-Quad 6,Batten,"[{""name"":""4-channel"",""channels"":4},{""name"":""6-channel"",""channels"":6},{""name"":""10-channel"",""channels"":10},{""name"":""24-channel"",""channels"":1},{""name"":""28-channel"",""channels"":5}]",2.3,494.5,82,154,674,lm,,,96,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.chauvetprofessional.com/products/colordash-batten-quad-6/""},{""type"":""manual"",""ref"":""https://www.chauvetprofessional.com/wp-content/uploads/2015/07/COLORDash_Batten-Quad_6_UM_Rev7_WO.pdf""}]",
Chauvet Professional,COLORdash S-Par 1,PAR,"[{""name"":""4-channel"",""channels"":4},{""name"":""6-channel"",""channels"":6},{""name"":""11-channel"",""channels"":11}]",6.5,231,169,313,,,,,65,,,DMX 5-pin,,PowerCON TRUE1,PowerCON TRUE1,"[{""type"":""datasheet"",""ref"":""https://www.chauvetprofessional.com/products/colordash-s-par-1/""},{""type"":""manual"",""ref"":""https://www.chauvetprofessional.com/wp-content/uploads/2015/07/COLORdash_S-Par_1_UM_Rev1_WO1.pdf""}]",
Chauvet Professional,Ovation F-915VW,Strobe,"[{""name"":""18-channel"",""channels"":18},{""name"":""16-channel"",""channels"":16},{""name"":""13-channel"",""channels"":13},{""name"":""9-channel"",""channels"":9},{""name"":""7-channel"",""channels"":7},{""name"":""6-channel"",""channels"":6},{""name"":""4-channel"",""channels"":4}]",8.5,320,275,569.44,6792,lm,,,223,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.chauvetprofessional.com/products/ovation-f-915vw/""},{""type"":""manual"",""ref"":""https://www.chauvetprofessional.com/wp-content/uploads/2017/11/Ovation_F-915VW_UM_Rev1_WO.pdf""}]",
Chauvet Professional,Rogue R1 Wash,Wash,"[{""name"":""21-channel"",""channels"":21},{""name"":""19-channel"",""channels"":19},{""name"":""15-channel"",""channels"":15},{""name"":""14-channel"",""channels"":14}]",5.9,265,354,187,2300,lm,,,161,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.chauvetprofessional.com/products/rogue-r1-wash/""},{""type"":""manual"",""ref"":""https://www.chauvetprofessional.com/wp-content/uploads/2015/06/ROGUE_R1_Wash_UM_Rev2_WO1.pdf""}]",
Chauvet Professional,Rogue R2 Wash,Wash,"[{""name"":""56-channel"",""channels"":17},{""name"":""54-channel"",""channels"":15},{""name"":""54-channel MS"",""channels"":15},{""name"":""33-channel"",""channels"":14},{""name"":""33-channel MS"",""channels"":14},{""name"":""22-channel"",""channels"":22},{""name"":""17-channel"",""channels"":17},{""name"":""15-channel"",""channels"":15}]",9.25,306,398,218,8500,lm,,,339,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.chauvetprofessional.com/products/rogue-r2-wash/""},{""type"":""manual"",""ref"":""https://www.chauvetprofessional.com/wp-content/uploads/2015/06/ROGUE_R2_Wash_UM_Rev4_WO2.pdf""}]",
Chauvet Professional,Vesuvio RGBA,Hazer/Fogger,"[{""name"":""9-channel"",""channels"":9}]",13.6,336,488,231,,,,,1590,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://web.archive.org/web/20160421173724/http://www.chauvetprofessional.com/products/vesuvio-rgba/""},{""type"":""manual"",""ref"":""https://www.chauvetprofessional.com/wp-content/uploads/2015/06/Vesuvio-RGBA_UM_Rev4_WO.pdf""}]",
Clay Paky,A.leda B-EYE K10,Spot,"[{""name"":""Standard"",""channels"":21},{""name"":""Shapes"",""channels"":35},{""name"":""Pixel RGB"",""channels"":1},{""name"":""Pixel RGBW"",""channels"":1}]",15,358,494,253,9800,lm,,,450,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.claypaky.it/products/a-leda-b-eye-k10/""},{""type"":""manual"",""ref"":""https://e-assist.tech/servlet/checkDocumentsFile?Id=729""}]",
Clay Paky,A.leda B-EYE K20,Spot,"[{""name"":""Standard"",""channels"":21},{""name"":""Shapes"",""channels"":35},{""name"":""Pixel RGB"",""channels"":1},{""name"":""Pixel RGBW"",""channels"":1}]",21,395,476,330,9800,lm,,,555,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.claypaky.it/products/a-leda-b-eye-k20/""},{""type"":""manual"",""ref"":""https://e-assist.tech/servlet/checkDocumentsFile?Id=729""}]",
Clay Paky,Alpha Spot QWO 800,Spot,"[{""name"":""Standard 32-channel"",""channels"":32},{""name"":""Vector 36-channel"",""channels"":36}]",30,385,405,650,54500,lm,,,1200,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""manual"",""ref"":""https://www.claypaky.it/media/documents/HR_AlphaSpotQWO800_and_ST_Manual_04.2016_EN.pdf""}]",
Clay Paky,Sharpy,Spot,"[{""name"":""Standard"",""channels"":16},{""name"":""Vector"",""channels"":20}]",19,405,450,330,7950,lm,,,200,,,DMX 3-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.claypaky.it/products/sharpy/""},{""type"":""manual"",""ref"":""https://e-assist.tech/servlet/checkDocumentsFile?Id=284""}]",
Clay Paky,Show-Batten 100,Batten,"[{""name"":""Basic Engine"",""channels"":18},{""name"":""Pixel Engine RGB"",""channels"":19},{""name"":""Pixel Engine RGBW"",""channels"":19}]",10,1000,100,186,6800,lm,,,170,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.claypaky.it/en/products/showbatten100""},{""type"":""manual"",""ref"":""https://www.claypaky.it/media/documents/HR_ShowBatten100_Manual_05.2016_EN.pdf""}]",
Clay Paky,Spheriscan,Wash,"[{""name"":""Standard"",""channels"":29},{""name"":""Vector"",""channels"":33}]",31.5,497,886,282,120000,lm,,,1600,,,DMX 5-pin,,,,"[{""type"":""manual"",""ref"":""https://www.claypaky.it/media/documents/Spheriscan-Spherilight_Manual_04.2017_EN.pdf""}]",
Elation,ACL 360 Roller,Spot,"[{""name"":""Basic"",""channels"":17},{""name"":""Standard"",""channels"":19},{""name"":""Extended"",""channels"":16}]",20,480.7,541,260,,,,,280,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/acl-360-roller""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/9806/ACL%20360%20ROLLER%20-%20User%20Manual.pdf""}]",
Elation,CUEPIX Blinder WW2,Blinder,"[{""name"":""1-channel"",""channels"":1},{""name"":""2-channel"",""channels"":2},{""name"":""3-channel"",""channels"":3},{""name"":""4-channel"",""channels"":4}]",5.1,259.4,181.2,478,,,,,229,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/cuepix-blinder-ww2""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/9941/Elation%20Cuepix%20Blinder%20WW2%20-%20User%20Manual.pdf""}]",
Elation,CUEPIX Blinder WW4,Blinder,"[{""name"":""1-channel"",""channels"":1},{""name"":""2-channel"",""channels"":2},{""name"":""4-channel"",""channels"":4},{""name"":""5-channel"",""channels"":5},{""name"":""7-channel"",""channels"":7},{""name"":""9-channel"",""channels"":9}]",5.1,259.4,181.2,478,,,,,229,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/cuepix-blinder-ww4""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/9870/Elation%20Cuepix%20Blinder%20WW4%20-%20User%20Manual%20.pdf""}]",
Elation,Design LED Par Zoom,PAR,"[{""name"":""8-channel"",""channels"":8}]",7,79,76.5,60,,,,,120,,,DMX 3-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/design-led-par-zoom""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/10094/elation_design_par_led_zoom_user_manual.pdf""}]",
Elation,FUZE PAR Z60IP,PAR,"[{""name"":""4-channel RGBW"",""channels"":4},{""name"":""4-channel HSI"",""channels"":4},{""name"":""5-channel HSI"",""channels"":5},{""name"":""6-channel RGBW"",""channels"":6},{""name"":""7-channel sRGBWI"",""channels"":7},{""name"":""7-channel RGBW"",""channels"":7},{""name"":""8-channel RGBW"",""channels"":8},{""name"":""9-channel RGBW"",""channels"":9},{""name"":""10-channel 16Bit"",""channels"":10},{""name"":""10-channel HSI"",""channels"":10},{""name"":""12-channel sRGBI"",""channels"":12},{""name"":""13-channel RGBW"",""channels"":13}]",4.5,312.5,284,410,,,,,78,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/fuze-par-z60-ip""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9776/ELATION%20FUZE%20PAR%20Z60%20IP%20-%20USER%20MANUAL.pdf""}]",
Elation,Platinum HFX,Spot,"[{""name"":""Extended"",""channels"":26},{""name"":""Standard"",""channels"":19},{""name"":""Basic"",""channels"":17}]",22.7,466,675.5,340,,,,,450,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/platinum-hfx""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/9814/Platinum%20HFX%20-%20User%20Manual%20.pdf""}]",
Elation,Platinum Seven,Spot,"[{""name"":""Basic"",""channels"":24},{""name"":""Standard"",""channels"":31},{""name"":""Extended"",""channels"":20}]",21.3,418.1,558.9,284.4,,,,,600,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/platinum-seven""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/9777/Platinum%20Seven%20-%20User%20Manual%20.pdf""}]",
Elation,Platinum Spot 15R Pro,Spot,"[{""name"":""Basic"",""channels"":21},{""name"":""Standard"",""channels"":23},{""name"":""Extended"",""channels"":34}]",22.2,50,72,46.5,,,,,500,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/platinum-spot-15r-pro""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/10038/PLATINUM%20SPOT%2015R%20PRO%20-%20User%20Manual%20Ver.1.pdf""}]",
Elation,Proteus Hybrid,Hybrid,"[{""name"":""Basic"",""channels"":24},{""name"":""Standard"",""channels"":26},{""name"":""Extended"",""channels"":37}]",38.0,465,650,571,23000,lm,,,750,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/proteus-hybrid""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/10677/ELATION%20PROTEUS%20HYBRID%20-%20PROTEUS%20HYBRID%20WMG%20-%20USER%20MANUAL.pdf""}]",
Elation,SIXPAR 100,PAR,"[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",3.3,257,243,125,,,,,89,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-100""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9887/Elation%20Sixpar%20100%20-%20User%20Manual%202022-02-21.pdf""}]",
Elation,SIXPAR 100IP,PAR,"[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",4.3,257,243,158,,,,,89,,,DMX 3-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-100ip""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9890/Elation%20Sixpar%20100%20IP%20%20100WMG%20-%20User%20Manual.pdf""}]",
Elation,SIXPAR 200,PAR,"[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",4.9,313,300,125,,,,,150,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-200""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9852/Elation%20Sixpar%20200%20-%20User%20Manual%202022-02-21.pdf""}]",
Elation,SIXPAR 200 IP,PAR,"[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",5.7,313,300,157,,,,,150,,,DMX 3-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-200ip""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9889/ELATION%20SIXPAR%20200IP%20&%20WMG%20-%20USER%20MANUAL.pdf""}]",
Elation,SIXPAR 200 WMG,PAR,"[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",5.7,313,300,157,,,,,150,,,DMX 3-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-200wmg""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/11387/ELATION%20SIXPAR%20SERIES%20-%20DMX%20TRAITS.pdf""}]",
Elation,SIXPAR 300,PAR,"[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",8.1,365,365,125,,,,,220,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-300""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9851/Elation%20Sixpar%20300%20-%20User%20Manual%202022-02-21.pdf""}]",
Elation,SIXPAR 300 IP,PAR,"[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",9.5,365,365,157,,,,,220,,,DMX 3-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-300ip""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9888/ELATION%20SIXPAR%20300IP%20&%20WMG%20-%20USER%20MANUAL.pdf""}]",
Elation,SIXPAR 300 WMG,PAR,"[{""name"":""6-channel"",""channels"":6},{""name"":""7-channel"",""channels"":7},{""name"":""8-channel"",""channels"":8},{""name"":""12-channel"",""channels"":12}]",8.7,365,365,157,,,,,220,,,DMX 3-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/sixpar-300wmg""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/11388/ELATION%20SIXPAR%20SERIES%20-%20DMX%20TRAITS.pdf""}]",
Elation,UNI BAR,Profile,"[{""name"":""Dimmer"",""channels"":1}]",1.1,200,66.8,82,,,,,1200,,,DMX 3-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/uni-bar""},{""type"":""manual"",""ref"":""https://cdb.s3.amazonaws.com/ItemRelatedFiles/10326/elation_UNI-BAR_user_manual_090216.pdf""}]",
Elation,ZW19,Spot,"[{""name"":""14-channel"",""channels"":14},{""name"":""22-channel"",""channels"":22}]",8.6,206,395,321,,,,,245,,,DMX 3-pin; DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.elationlighting.com/zw19""},{""type"":""manual"",""ref"":""https://d295jznhem2tn9.cloudfront.net/ItemRelatedFiles/9786/elation_ZW19_user_manual_ver%201-092015.pdf""}]",
ETC,ColorSource PAR,PAR,"[{""name"":""5 Channel (Default)"",""channels"":5},{""name"":""Direct"",""channels"":6},{""name"":""1 Channel"",""channels"":1},{""name"":""RGB"",""channels"":3}]",3.77,203,310,240,3039,lm,,,90,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.etcconnect.com/Products/Lighting-Fixtures/ColorSource-PAR/Features.aspx""},{""type"":""manual"",""ref"":""https://www.etcconnect.com/WorkArea/DownloadAsset.aspx?id=10737484145""}]",
ETC,ColorSource PAR Deep Blue,PAR,"[{""name"":""5 Channel (Default)"",""channels"":5},{""name"":""Direct"",""channels"":6},{""name"":""1 Channel"",""channels"":1},{""name"":""RGB"",""channels"":3}]",3.77,203,310,240,2429,lm,,,90,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.etcconnect.com/Products/Lighting-Fixtures/ColorSource-PAR/Features.aspx""},{""type"":""manual"",""ref"":""https://www.etcconnect.com/WorkArea/DownloadAsset.aspx?id=10737484145""}]",
ETC,ColorSource Spot,Spot,"[{""name"":""5 Channel (Default)"",""channels"":5},{""name"":""Direct"",""channels"":6},{""name"":""1 Channel"",""channels"":1},{""name"":""RGB"",""channels"":3}]",7.7,339,593,672,6932,lm,,,147,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.etcconnect.com/Products/Lighting-Fixtures/ColorSource-Spot/Features.aspx""},{""type"":""manual"",""ref"":""https://www.etcconnect.com/WorkArea/DownloadAsset.aspx?id=10737494635""}]",
ETC,ColorSource Spot Deep Blue,Spot,"[{""name"":""5 Channel (Default)"",""channels"":5},{""name"":""Direct"",""channels"":6},{""name"":""1 Channel"",""channels"":1},{""name"":""RGB"",""channels"":3}]",7.7,339,593,672,6932,lm,,,147,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.etcconnect.com/Products/Lighting-Fixtures/ColorSource-Spot/Features.aspx""},{""type"":""manual"",""ref"":""https://www.etcconnect.com/WorkArea/DownloadAsset.aspx?id=10737494635""}]",
ETC,fos/4 PD16,Strobe,"[{""name"":""Direct"",""channels"":10},{""name"":""Expanded"",""channels"":11},{""name"":""Studio"",""channels"":7},{""name"":""3 Ch RGB"",""channels"":3},{""name"":""Intensity"",""channels"":1}]",25.4,406,610,631,,,,,1070,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.etcconnect.com/Products/Lighting-Fixtures/fos/4-Panels/Features.aspx""},{""type"":""manual"",""ref"":""https://www.etcconnect.com/WorkArea/DownloadAsset.aspx?id=10737501734""}]",
ETC,fos/4 PD24,Strobe,"[{""name"":""Direct"",""channels"":10},{""name"":""Expanded"",""channels"":11},{""name"":""Studio"",""channels"":7},{""name"":""3 Ch RGB"",""channels"":3},{""name"":""Intensity"",""channels"":1}]",35.8,610,610,631,,,,,1600,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.etcconnect.com/Products/Lighting-Fixtures/fos/4-Panels/Features.aspx""},{""type"":""manual"",""ref"":""https://www.etcconnect.com/WorkArea/DownloadAsset.aspx?id=10737501734""}]",
ETC,fos/4 PD8,Strobe,"[{""name"":""Direct"",""channels"":10},{""name"":""Expanded"",""channels"":11},{""name"":""Studio"",""channels"":7},{""name"":""3 Ch RGB"",""channels"":3},{""name"":""Intensity"",""channels"":1}]",14.5,203,610,631,,,,,540,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.etcconnect.com/Products/Lighting-Fixtures/fos/4-Panels/Features.aspx""},{""type"":""manual"",""ref"":""https://www.etcconnect.com/WorkArea/DownloadAsset.aspx?id=10737501734""}]",
ETC,fos/4 PL16,Strobe,"[{""name"":""Direct"",""channels"":12},{""name"":""Expanded"",""channels"":11},{""name"":""Studio"",""channels"":7},{""name"":""3 Ch RGB"",""channels"":3},{""name"":""Intensity"",""channels"":1}]",25.4,406,610,631,,,,,1070,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.etcconnect.com/Products/Lighting-Fixtures/fos/4-Panels/Features.aspx""},{""type"":""manual"",""ref"":""https://www.etcconnect.com/WorkArea/DownloadAsset.aspx?id=10737501734""}]",
ETC,fos/4 PL24,Strobe,"[{""name"":""Direct"",""channels"":12},{""name"":""Expanded"",""channels"":11},{""name"":""Studio"",""channels"":7},{""name"":""3 Ch RGB"",""channels"":3},{""name"":""Intensity"",""channels"":1}]",35.8,610,610,631,,,,,1600,,,DMX 5-pin,,,,"[{""type"":""datasheet"",""ref"":""https://www.etcconnect.com/Products/Lighting-Fixtures/fos/4-Panels/Features.aspx""},{""type"":""manual"",""ref"":""https://www.etcconnect.com/WorkArea/DownloadAsset.aspx?id=10737501734""}]",
